List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
TR,THAI RAYON PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"MAHATUN PLAZA BLDG, FLOOR 16,888/160-161 PLOENCHIT ROAD, PATHUMWAN, Bangkok",10330,"0-2626-6377,0-2626-6383","0-2254-3181, 0-2254-5472",www.thairayon.com
TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"No.8 Soi Sukhapiban 5 soi 32, Tha Raeng, Bang Khen District Bangkok",10220,0-2022-7777,0-2022-7788,www.trc-con.com
TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,60 Soi Praditmanutham 19 Praditmanutham Road Kwang Ladprao Khet Ladprao Bangkok,10230,0-2553-5000,0-2553-5091,www.triton.co.th
TRP,Aesthetic Connect Public Company Limited,mai,Services,-,"2 Charoen Nakhon Road, Khlong San, Khlong San Bangkok",10600,0-2438-4444,-,teerapornclinic.com
TRT,TIRATHAI PUBLIC COMPANY LIMITED,mai,Industrial,-,"BANGPOO INDUSTRIAL ESTATE, 516/1 MOO 4, AMPHOE MUEANG Samut Prakarn",10280,0-2769-7699,-,www.tirathai.co.th
TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"304 Macharoen Road, Nong Khang Phlu, Nong Khaem Bangkok",10160,"0-2420-0076, 0-2431-0065, 0-2431-0071-2","0-2812-0844, 0-2420-3664, 0-2814-5030",http://www.thairung.co.th
TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"99/1-3 BANGNA-TRAT ROAD,KM 7, BANGKAEW, BANG PLEE Samut Prakarn",10540,"0-2033-2333, 0-2033-2300-88",0-2033-2389-99,www.thaitex.com
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"18 True Tower, Ratchadaphisek Road, Huay Kwang Sub-District, Huay Kwang District Bangkok",10310,0-2859-1111,-,http://www.truecorp.co.th
TRV,T.R.V. RUBBER PRODUCTS PUBLIC COMPANY LIMITED,mai,Industrial,-,"40,88/8-9 Soi Ekkachai 76 Yak 1-3-1, Klong BangPhran, Bangbon Bangkok",10150,0-2451-1562-3,0-2451-2885,www.trvrubber.co.th
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"700/737 Moo. 1, Tambol Panthong, Amphur Panthong Chonburi",20160,0-3844-7200-205,-,www.tscpcl.com
TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 725 S-Metro, 19th Floor, Sukhumvit Road, Klongton Nua, Wattana Bangkok",10110,0-2258-4530-3,0-2258-4534,http://www.thaisolarenergy.com
TSI,THE THAI SETAKIJ INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"87 M. Thai Tower, All Seasons Place, 15th Floor, Unit No. 1 and 4-6, Wireless Road, Lumpini, Phatumwan Bangkok",10330,0-2853-8888,0-2853-8889,www.tsi.co.th
TSR,TSR LIVING SOLUTION PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"43/9, Moo 7, Soi Chuchat Arnusorn 4, Bang Talad Sub-District, Pakkred District Nonthaburi",11120,0-2819-8899,0-2962-6675,https://www.tsrplc.com
TSTE,TSTE PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"90 MOO 1,SOI SIAMSILO,POOCHAOSAMINGPRAI ROAD, PHRA PRADAENG Samut Prakarn",10130,0-2183-4567,"0-2183-4561, 0-2183-4562",www.tstegroup.com
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"555 Rasa One (Building B), 20th Floor, Phaholyothin Road, Chatuchak, Chatuchak Bangkok",10900,0-2937-1000,0-2937-1223-4,www.tatasteelthailand.com
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"ORAKARN BLDG, 26/26-27 SOI CHIDLOM, PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2250-0569-74,"0-2657-1038, 0-2655-5631",http://www.thoresen.com
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,SET,Financials,Banking,"3000 PHAHOLYOTHIN ROAD, JOMPOL, CHATU CHAK Bangkok",10900,"0-2299-1111, 0-2617-9111",0-2299-2758,https://www.ttbbank.com
TTCL,TTCL PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"159/41-44 SERM-MIT TOWER 27TH - 30TH FLOOR, SUKHUMVIT 21 (ASOKE), NORTH KLONGTOEY, WATTANA Bangkok",10110,0-2260-8505,0-2260-8525-6,www.ttcl.com
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"385 SOI BANGMEKKHAO,SUKHUMVIT ROAD, AMPHOE MUEANG Samut Prakarn",10280,0-2703-8484,"0-2387-1983, 0-2387-0894",www.tti.co.th
TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"1 Empire Tower, 32nd Fl., South Sathorn Rd., Yannawa, Sathorn Bangkok",10120,0-2686-6100,0-2670-0430,-
TTT,TORAY TEXTILES (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"5th Floor, Bubhajit Building, 20 North Sathorn Road, Silom, Bangrak Bangkok",10500,0-2266-6600-7,0-2238-3957-8,www.toray.co.th
TTW,TTW PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"30/130 Moo 12, Buddha Monthon 5 Road, Rai Khing, Sam Pran Nakorn Phathom",73210,"0-2019-9490-3, 0-2019-9484-9",0-2420-6064,http://www.ttwplc.com
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"S.M.TOWER, FL M, 979/12 PHAHOLYOTHIN RD., PHAYATHAI, PHAYATHAI Bangkok",10400,"0-2298-0024, 0-2298-0537-41",0-2298-0553,thaiunion.com
TU-PF,T.U. DOME RESIDENTIAL COMPLEX LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"23A, 25 Floor, Asia Centre Building, 173/27-30, 32-33 South Sathon Road, Thungmahamek, Sathon Bangkok",10120,0-2786-2000,0-2786-2370-74,-
TURTLE,SUPER TURTLE PUBLIC COMPANY LIMITED,mai,Services,-,"333 Lao Peng Nguan 1 Tower, 24th Floor, Soi Choeiphuang, Vibhavadi-Rangsit Road, Chomphon, Chatuchak, Bangkok",10900,0-2091-5900,0-2091-5928,www.superturtle.co.th
TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED,mai,Services,-,"25 Watcharaphon Road, Tarang, Bangkhen Bangkok",10230,0-2666-0999,0-2666-0488,http://www.tvdirect.tv
TVH,THAIVIVAT HOLDINGS PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"No. 71 , Dindaeng Road, Samsen Nai, Phayathai Bangkok",10400,"0-2200-7307-8,0-2200-7412",0-2248-4406,https://thaivivatholdings.com
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"149 RAJADAPISEK RD (THAPHRA-TAKSIN), BUKHALO, THON BURI Bangkok",10600,0-2477-9020,"0-2477-9880, 0-2477-9894",www.tvothai.com
TVT,TV THUNDER PUBLIC COMPANY LIMITED,mai,Services,-,"1213/309 - 310 Soi Lardprao 94 (Panjamit) Srivara Road, Phlapphla, Wangthonglang Bangkok",10310,0-2559-0022,0-2559-3609,http://www.tvthunder.co.th
TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"101/88 Moo 20 Nava Nakorn Industrial Estate, Khlong Nueng, Khlong Luang Pathum Thani",12120,0-2520-3855-64,0-2520-3865-66,www.thaiwireproducts.com
TWPC,THAI WAH PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 21/11, 21/13 Thai Wah Tower 1, 6th floor, South Sathorn Road, Tungmahamek, Sathorn Bangkok",10120,0-2285-0040,0-2285-0268,www.thaiwah.com
TWZ,TWZ CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"269 Ratchadapisek Rd., Ratchadapisek, Din Daeng Bangkok",10400,0-2275-9789,0-2275-9798,www.twz.co.th
TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.",SET,Industrials,Steel and Metal Products,"99 Moo 1, Tumbon Nikompattana, Amphur Nikompattana Rayong",21180,0-3365-8558,0-3863-6969,www.tycons.com
UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"NO.1 TP&T BUILDING, FL 19, SOI VIBHAVADI RANGSIT 19, VIBHAVADI RANGSIT ROAD, CHATUCHAK SUB-DISTRICT, CHATUCHAK DISTRICT, Bangkok",10900,0-2936-1701,0-2936-1700,www.uac.co.th
UBA,Utility Business Alliance Public Company Limited,mai,Services,-,"21st Floor, Suntowers Building A No.123 Vibhavadi Rangsit Road, Chom Phon, Chatuchak Bangkok",10900,0-2789-3232,0-2617-8130,www.uba.co.th
UBE,UBON BIO ETHANOL PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"130-132 Sindhorn Tower 2, 7th Floor, Wireless Road, Lumpini, Pathumwan Bangkok",10330,0-2273-8666,0-2273-8668,www.ubonbioethanol.com
UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED,mai,Industrial,-,"238, 15th Floor, Unit 4-6, TRR Tower, Naradhiwas Rajanagarindra Road, Chong Nonsi, Yannawa Bangkok",10120,0-2683-0008,0-2294-2013,www.ubisasia.com
UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED,mai,Industrial,-,"109/92-95 MOO 19, SOI SUKSAWAT, 66 SUKSAWAT ROAD, AMPHOE PHRA PRADAENG Samut Prakarn",10130,0-2463-0100,0-2463-1910,www.unimit.com
UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,mai,Industrial,-,"UNION HOUSE BUILDING, 728 BOROMRATCHONNEE ROAD, BANGBUMRU, BANG PHALT Bangkok",10700,0-2881-8288,0-2433-7243-4,http://www.unionpetrochemical.com
UMI,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"CHAMNAN PENCHAT BUSINESS CENTER BLDG, FLOOR 29, 65 RAMA IX ROAD, HUAI KHWANG Bangkok",10320,0-2248-7007-65,0-2248-7005-6,www.umi-tiles.com
UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED,mai,Resources,-,"26/23 Orakarn Building, 7th Floor, Soi Chidlom, Ploenchit Road, Lumpinee, Pathumwan Bangkok",10330,0-2655-7501-2,0-2655-7501-2,www.umspcl.com
UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"JASMINE INTERNATIONAL TOWER, FLOOR 15, 200 MOO 4, CHAENGWATTANA ROAD, PAK KRET Nonthaburi",11120,0-2582-1888,0-2582-3196,http://www.unique.co.th
UOBKH,UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"130-132 Sindhorn Tower 1, 2nd, 3rd Floor, Wireless Road, Lumpini, Pathumwan Bangkok",10330,0-2659-8000,0-2263-2807,https://www.utrade.co.th/
UP,UNION PLASTIC PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"NG.11 MOO 14, BANGCHAN INDUSTRIAL ESTATE, MIN BURI Bangkok",10510,0-2517-0109-14,0-2517-0529,www.unionplastic.co.th
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"No. 1 Soi Serithai 62, Khwaeng Minburi, Khet Minburi Bangkok",10510,0-2517-0105-8,"0-2517-0345, 0-2517-9056",www.unionpioneer.co.th
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"64, 1st Floor, Soi Bangna-Trad 25, BANG NA Bangkok",10260,0-2744-1046-8,0-2744-1049,www.upoic.co.th
UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,mai,Industrial,-,"19 Moo 11, Tambon Ladsawai, Amphoe Lamlukka Pathum Thani",12150,0-2192-3737,0-2192-3743-44,http://www.eurekadesign.co.th
UTP,UNITED PAPER PUBLIC COMPANY LIMITED,SET,Industrials,Paper & Printing Materials,"No.17, Soi Supa Ruam, Wong Sawang Sub-district, Bang Sue District Bangkok",10800,0-2910-2700-8,0-2910-2709,www.unitedpaper.co.th
UV,UNIVENTURES PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"22nd FLOOR, PARK VENTURES ECOPLEX 57 WIRELESS ROAD, LUMPINI, PATUMWAN Bangkok",10330,0-2643-7100,0-2256-0505,www.univentures.co.th
UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"No. 258 Aoluk-Laemsak Rd., Tambon Aoluk Tai Amphoe Aoluk, Krabi",81110,"0-7568-1116,0-7568-1126",-,www.univanich.com
VARO,VAROPAKORN PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"181 SOI AMON, NANGLINJI ROAD, CHONGNONSI, YAN NAWA Bangkok",10120,"0-2213-2514-7, 0-2231-2544",0-2287-2031,http://www.varopakorn.com
VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,mai,Technology,-,"159/21 Sermmitr Tower, 14th Floor, Room 1401, Sukhumvit 21 (Asok) Road, Khlong Toei Nua, Watthana Bangkok",10110,0-2661-7979,0-2661-7969,www.vintcom.co.th
VGI,VGI PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"1000/9, BTS Visionary Park - South Tower, 27th Floor, Phahonyothin Road, Chomphon Sub-district, Chatuchak District Bangkok",10900,0-2273-8884,0-2273-8883,www.vgi.co.th
VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"51/3 NGAMWONGWAN RD., LATYAO, JATUJAK Bangkok",10900,"0-2579-9680-4, 0-2561-1258-67, 0-2941-2800","0-2561-1466, 0-2561-1462",http://www.vibhavadi.com
VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"74/5 Moo 4 Phetkasem Road, Omnoi Subdistrict, Krathumbaen District Samut Sakhon",74130,"0-2431-0070,1792",0-2431-1404,http://www.vichaivej.com
VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED,mai,Services,-,"41 Asoke-Dindaeng Road., Makkasan Rachadewee Bangkok",10400,0-2254-6604,0-2254-8749,www.vltanker.com
VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"2/1 WONGSAWANG ROAD, WONGSAWANG, BANGSUE Bangkok",10800,"0-2585-4900-3, 0-2913-2180-9",0-2587-9556,www.vanachai.com
VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"2044 Chavananand Building, Petchburi Road, Bang Kapi, Huai Khwang Bangkok",10240,0-2314-4101-5,0-2319-7989,www.vcbpalmoil.com
VRANDA,VERANDA RESORT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"555 Rasa Tower Building Floor 27 Unit 2701-2704, Phaholyothin Road, Chatuchak Bangkok",10900,0-2513-3003,0-2513-6844,https://www.verandaresort.com/
VS,VISERVE ENTERPRISE PUBLIC COMPANY LIMITED,mai,Services,-,"No. 1252, True Tower 2, Building 1, 14th-15th Floors, Phatthanakan Road, Suan Luang Subdistrict, Suan Luang District Bangkok",10250,0-2765-3999,-,www.gsc-servicecenter.com
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"132 Soi Charoenrat 7, BANGKHLO, BANG KHO LAEM Bangkok",10120,"0-2289-3100-9, 0-2689-8300",0-2291-1788,www.wacoal.co.th
WARRIX,Warrix Sport Public Company Limited,mai,Consumer Products,-,"849/6-8 Rama 6 Rd. Wangmai Sub-District, Pathumwan District Bangkok",10330,0-2117-1300,-,www.warrix.co.th
WAVE,WAVE EXPONENTIAL PUBLIC COMPANY LIMITED,SET,Services,Professional Services,"2445/19,21 Tararom Business Tower, 14th Floor, New Petchburi Road, Bangkapi Sub-district, Huaykhwang District Bangkok",10310,0-2665-6705,-,http://www.wave-groups.com
WELL,WELL MANAGEMENT CORPORATION PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"36/1, Ramkhamhaeng 40 (Serm mirth) Alley, Hua Mak, Bang Kapi Bangkok",10240,0-2121-7819,-,http://www.wellmanagement.co.th
WFX,WORLD FLEX PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"1/7 Bangna Thani Bldg 3Fl. Room 3B Soi Bangna-Trad 34, Bangna Tai, Bangna Bangkok",10260,0-2398-7188,0-2398-7187,https://www.worldflex.net/
WGE,WELL GRADED ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"50/1203 Moo 9, Bang Phut Sub-district, Pak kret District Nonthaburi",11120,0-2981-7992?4,"0-2981-7995, 0-2981-7970",www.well-graded.com
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"777 WHA TOWER, 23rd- 25th Floor, Moo. 13, Debaratna Road (Bangna-Trad) KM.7, Bang Kaeo, Bang Phli Samut Prakarn",10540,0-2753-3750,0-2753-2750,https://www.wha-group.com
WHABT,WHA BUSINESS COMPLEX FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"777 WHA TOWER, 22nd Floor, Room 2206, Moo 13, Debaratna Road (Bangna-Trad) KM.7, Bang Kaeo, Bang Phli Samut Prakarn",10540,0-2753-3159,0-2753-3527,www.whabt.com
WHAIR,WHA INDUSTRIAL LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"No. 777,22nd Floor, WHA Tower, Moo 13 Debaratana Road (Bangna-Trad) Km. 7 Bangkaew, Bangplee Samut Prakarn",10540,0-2719-9557,0-2719-9553,www.hemarajreit.com
WHART,WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"777 WHA TOWER, 22nd Floor, Room 2206, Moo 13, Debaratna Road (Bangna-Trad) KM.7, Bang Kaeo, Bang Phli Samut Prakarn",10540,0-2753-3159,0-2753-3527,www.whareit.com
WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"777 WHA TOWER, 22nd Floor, Unit 2203-2205, Moo 13, Debaratna Road (Bangna-Trad) KM.7, Bang Kaeo, Bang Phli Samut Prakarn",10540,0-2719-9559,0-2719-9558,www.wha-up.com
WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"WICE PLACE Building No.88/8 Nonsi Road, Chong Nonsi, Yan Nawa Bangkok",10120,0-2681-6181,0-2681-6173-75,www.wice.co.th
WIIK,WIIK PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"90 CW Tower B, 21st Floor, Ratchadapisek Rd., Huaykwang Sub-District, Huaykwang District Bangkok",10310,0-2612-8600,0-2645-2828-9,www.wiik.co.th
WIN,WYNCOAST INDUSTRIAL PARK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"105 MOO 3, BANGNA-TRAD ROAD KM.52, THAKHAM, BANG PAKONG Chacherngsao",24130,0-3857-3162-3,0-3857-3218,www.wyncoast.com
WINDOW,Window Asia Public Company Limited,SET,Property & Construction,Construction Materials,"15/1, Moo 1 , Rama II Road, Bangnamjeud, Muang, Samutsakorn Samut Sakhon",74000,02-123-1734-5,02-123-7333,http://windowasia.com
WINMED,WINNERGY MEDICAL PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"634/4, Soi Ramkhamhaeng 39 (Theplila 1), Pracha Uthit Rd., Wang Thong Lang Bangkok",10310,0-2725-0888,0-2725-0880,http://www.winnergymedical.co.th
WINNER,WINNER GROUP ENTERPRISE PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"43 Thai CC Tower 21st Floor, Room 214-219, South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2675-6525,0-2675-6544,www.winnergroup.co.th
WORK,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"99 MOO 2, TAMBOL BANGPOON, AMPHOE MUEANG Pathum Thani",12000,0-2833-2000,0-2833-2999,http://www.workpoint.co.th
WP,WP ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"1 Eastwater Building, 15/F Vibhavadi Rangsit Soi 5, Vibhavadi Rangsit Road, Chom Pon Sub-district, Chatuchak District Bangkok",10900,0-2272-3322,0-2272-0655,www.wp-energy.co.th
WPH,WATTANAPAT HOSPITAL TRANG PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"247/2 Phatalung Road, Tambon Thap Thiang, Amphoe Muang Trang",92000,0-7520-5555,0-7520-5460,http://www.wattanapat.co.th/
WSOL,WSOL PUBLIC COMPANY LIMITED,SET,Services,Commerce,"238 Bang Khun Thian - Chai Thale Road, Samae Dam Subdistrict, Bang Khun Thian District Bangkok",10150,0-2451-5335,0-2451-5338,https://wsol.co.th
XBIO,X BIOSCIENCE PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No.304 Vanit Place Aree Tower (Tower A), Room No.1803-1806,18 Floor, Phahon Yothin Road, Sam Sen Nai, Phaya thai Bangkok",10400,0-2278-5456,-,http://www.xbio.co.th
XO,EXOTIC FOOD PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"130 ? 132 Sindhorn, Tower 2, 9th Floor, Wireless Road, Lumpini Sub-district, Pathum Wan District Bangkok",10330,0-2650-7779,-,www.exoticfoodthailand.com
XPG,XSPRING CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"59 Siri Campus, Building D, 2nd Floor, Soi Rim Khlong Phra Khanong, Phra Khanong Nuea Sub-district, Vadhana District Bangkok",10110,0-2030-3730,-,www.xspringcapital.com
XYZ,RSXYZ PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"27 RS Group Building, Tower A, Floor 9, Prasert-Manukitch Road, Sena Nikhom, Chatuchak, Bangkok Bangkok",10170,0-2037-8122,-,www.giftinfinite.co.th
YGG,YGGDRAZIL GROUP PUBLIC COMPANY LIMITED,mai,Services,-,"348 Soi Ladprao 94 (Punjamitr), Pubphla, Wangthonglang Bangkok",10310,0-2934-4364,0-2934-4560,http://www.ygg-cg.com
YONG,Yong Concrete Public Company Limited,mai,Property & Construction,-,"148/9, Moo 3, Wangkanai Sub-district, Thamuang District Kanchanaburi",71110,0-3451-0561-65,0-3451-0561 ext. 501,www.yongconcrete.co.th
YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED,mai,Industrial,-,"164 Moo 5 Soi Thedsaban 55, Sukhumvit Road Tambol Taibanmai, Amphur Muangsamutprakan Samut Prakarn",10280,0-2769-7300,0-2769-7349,www.yuasathai.com
ZAA,ZALEKTA PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"29 Vanissa Building Tower B, 15th Floor, Chidlom Road, Lumphini Sub-District, Pathum Wan District Bangkok",10330,0-2254-5662,0-2254-5662,www.zalekta.com
ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No.662 Soi Onnuch 17, Suan Luang Sub District, Suan Luang District Bangkok",10250,0-2019-5000 Ext.982,0-2030-5322,www.zengroup.co.th
ZIGA,ZIGA INNOVATION PUBLIC COMPANY LIMITED,mai,Industrial,-,"No. 8 Moo. 10, Nai Klong Bang Plakod Subdistrict, Phasamudjadee District, Samut Prakarn",10290,0-2096-5977,-,www.ziga.co.th
